Source,Package name,Package ID,ISBN,Unformatted ISBN,Book Title,Year,ISSN,Series Title,Volume,Imprint,Available Online,Status,Remarks,Shortcut URL
S&T,eBook - Earth and Planetary Sciences 2016,EBCEPS16,978-0-12-804442-1,9780128044421,Ephemeral Hunter-Gatherer Archaeological Sites,2016,,,,Elsevier,29-Jul-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128044421
S&T,eBook - Engineering 2016,EBCE16,978-0-12-804575-6,9780128045756,4G LTE-Advanced Pro and The Road to 5G (Third Edition),2016,,,,Academic Press,29-Jul-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128045756
S&T,eBook - Engineering 2016,EBCE16,978-1-56990-607-1,9781569906071,Rheological and Morphological Properties of Dispersed Polymeric Materials,2016,,,,Hanser,29-Jul-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9781569906071
S&T,eBook - Finance 2016,EBCF16,978-0-12-803579-5,9780128035795,Computational Finance Using C and C# (Second Edition),2016,,Quantitative Finance,,Academic Press,29-Jul-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128035795
S&T,eBook - Finance 2016,EBCF16,978-0-12-810402-6,9780128104026,"Global Imbalances, Financial Crises, and Central Bank Policies",2017,,,,Academic Press,29-Jul-2016,Active,Added in May 2016,http://www.sciencedirect.com/science/book/9780128104026
S&T,eBook - Forensics and Security 2016,EBCFOR16,978-0-12-382106-5,9780123821065,Developmental Juvenile Osteology (Second Edition),2017,,,,Academic Press,29-Jul-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780123821065
S&T,eBook - Materials Science 2016,EBCMS16,978-0-323-47357-6,9780323473576,Chemical Resistance of Engineering Thermoplastics,2016,,Plastics Design Library,,William Andrew Publishing,29-Jul-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780323473576
S&T,eBook - Materials Science 2016,EBCMS16,978-0-323-47358-3,9780323473583,Chemical Resistance of Commodity Thermoplastics,2016,,Plastics Design Library,,William Andrew Publishing,29-Jul-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780323473583
S&T,eBook - Social Sciences 2016,EBCSS16,978-0-08-100592-7,9780081005927,Social Network Sites for Scientists,2016,,,,Chandos Publishing,29-Jul-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780081005927
S&T,"eBook - Agricultural, Biological, and Food Sciences 2016",EBCABS16,978-1-63067-041-2,9781630670412,Olive and Olive Oil Bioactive Constituents,2015,,,,AOCS Press,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9781630670412
S&T,"eBook - Agricultural, Biological, and Food Sciences 2016",EBCABS16,978-1-63067-044-3,9781630670443,Polar Lipids,2015,,,,Elsevier,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9781630670443
S&T,eBook - Chemical Engineering 2016,EBCCE16,978-0-08-098301-1,9780080983011,Handbook of Nonwoven Filter Media (Second Edition),2015,,,,Butterworth-Heinemann,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780080983011
S&T,eBook - Chemical Engineering 2016,EBCCE16,978-0-08-099396-6,9780080993966,Filters and Filtration Handbook (Sixth Edition),2015,,,,Butterworth-Heinemann,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780080993966
S&T,eBook - Chemistry 2016,EBCC16,978-0-12-420161-3,9780124201613,Forced-Flow Layer Chromatography,2016,,,,Elsevier,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780124201613
S&T,eBook - Computer Science 2016,EBCCS16,978-0-12-802729-5,9780128027295,Multiscreen UX Design,2015,,,,Morgan Kaufmann,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128027295
S&T,eBook - Computer Science 2016,EBCCS16,978-0-12-804718-7,9780128047187,Automated Security Analysis of Android and iOS Applications with Mobile Security Framework,2016,,,,Syngress,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128047187
S&T,eBook - Energy 2016,EBCEN16,978-0-08-100879-9,9780081008799,Geothermal Power Plants (Fourth Edition),2015,,,,Butterworth-Heinemann,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780081008799
